ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model No,Family Name,N-Standard,Labelled energy consumption (kWh/year),New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Registration Number,Type,Width,Record ID,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Star Rating (old),Star Image Large,Star Image Small
EE Amendment Regulations 2025 Schedule 2F,Midea,7,No,Autosensing,China,-,-,DMDV70,,AS/NZS 2442.1:1996/Amdt 4:2006,311,2.08546832651034,2.0,Extra/Cotton,208.0,New Zealand,Approved,108897,5.538,0.0,ZCD0049,Vented,-,108897,2117-07-21,,Single product class,Unavailable,,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
EE Amendment Regulations 2025 Schedule 2F,Eurotech,7,No,Autosensing,China,555.0,840.0,ED-FVD7KGWH,,AS/NZS 2442.1:1996/Amdt 4:2006,311,2.0854683265103358,2.0,Extra/Cotton,208.0,"Fiji,New Zealand",Approved,126591,5.54,0.0,ZCD0070,Vented,595.0,126591,2120-01-31,,Single product class,Available,,http://www.eurotechdesign.co.nz/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
EE Amendment Regulations 2025 Schedule 2F,Tuscany,7,No,Autosensing,China,555.0,840.0,T-FVD7KGWH,,AS/NZS 2442.1:1996/Amdt 4:2006,311,2.0854683265103358,2.0,Extra/Cotton,208.0,"Fiji,New Zealand",Approved,126592,5.54,0.0,ZCD0071,Vented,595.0,126592,2120-01-31,,Single product class,Available,,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
EE Amendment Regulations 2025 Schedule 2F,VOGUE,8,No,Autosensing,China,630.0,850.0,361301,,AS/NZS 2442.1:1996/Amdt 4:2006,149,7.434863634151716,6.0,STANDARD,290.0,New Zealand,Approved,128579,6.46,0.0,ZCD0072,Condenser,595.0,128579,2120-04-29,,Single product class,Unavailable,http://www.tradedepot.co.nz/,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
EE Amendment Regulations 2025 Schedule 2F,VOGUE,8,No,Autosensing,China,630.0,850.0,361302,,AS/NZS 2442.1:1996/Amdt 4:2006,149,7.434863634151716,6.0,STANDARD,290.0,New Zealand,Approved,128580,6.46,0.0,ZCD0073,Condenser,595.0,128580,2120-04-29,,Single product class,Unavailable,http://www.tradedepot.co.nz/,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
EE Amendment Regulations 2025 Schedule 2F,AWARD,7,No,Autosensing,Türkiye,563.0,845.0,TDC7,,AS/NZS 2442.1:1996/Amdt 4:2006,288,2.5582282215005385,2.5,"Cotton Cupboard Dry, Dry Level 3",151.5,New Zealand,Approved,128703,4.9,0.0,ZCD0074,Condenser,596.0,128703,2120-05-04,,Single product class,Available,http://www.vestelinternational.com,http://www.awardappliances.co.nz,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAGDRYCD80A,KAGDRYCD80*,AS/NZS 2442.1:1996/Amdt 4:2006,358,2.0411123759806333,2.0,cotton with arrow,220.0,"Australia,Fiji,New Zealand",Approved,137731,6.352,0.0,ACD0548,Condenser,-,137731,2026-05-07,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAGDRYCD80B,KAGDRYCD80*,AS/NZS 2442.1:1996/Amdt 4:2006,358,2.0411123759806333,2.0,cotton with arrow,220.0,"Australia,Fiji,New Zealand",Approved,137731,6.352,0.0,ACD0548,Condenser,-,137731,2026-05-07,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAGDRYCD80C,KAGDRYCD80*,AS/NZS 2442.1:1996/Amdt 4:2006,358,2.0411123759806333,2.0,cotton with arrow,220.0,"Australia,Fiji,New Zealand",Approved,137731,6.352,0.0,ACD0548,Condenser,-,137731,2026-05-07,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAGDRYCD80D,KAGDRYCD80*,AS/NZS 2442.1:1996/Amdt 4:2006,358,2.0411123759806333,2.0,cotton with arrow,220.0,"Australia,Fiji,New Zealand",Approved,137731,6.352,0.0,ACD0548,Condenser,-,137731,2026-05-07,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
